,policy_bind_date
852,2002-06-08
853,2009-02-12
854,2001-05-14
855,2001-02-16
856,1993-11-18
857,1990-02-18
858,2000-05-21
859,2012-08-26
860,2004-11-16
861,2003-01-23
862,2008-11-07
863,1999-10-19
864,1990-12-20
865,1996-02-14
866,2001-06-10
867,2010-03-17
868,2003-07-30
869,2014-09-17
870,2009-06-03
871,1994-10-11
872,1991-07-18
873,2001-09-24
874,2012-09-19
875,1991-07-11
876,1991-10-29
877,1999-12-28
878,2012-10-11
879,1995-08-19
880,1991-02-11
881,1991-07-02
882,1994-04-10
883,2005-12-04
884,2014-07-16
885,2003-09-17
886,2000-07-15
887,2009-07-29
888,1991-04-13
889,2005-11-20
890,1990-05-20
891,2002-11-28
892,2004-06-15
893,2010-09-26
894,1990-09-15
895,2009-09-16
896,1999-08-12
897,2009-03-08
898,2009-04-27
899,2006-08-02
900,1995-12-06
901,2002-11-13
902,1991-11-09
903,1998-01-14
904,2002-04-25
905,1991-07-20
906,2004-08-13
907,1990-06-24
908,1991-08-21
909,2011-02-25
910,2013-02-04
911,2001-02-20
912,1992-03-03
913,2006-12-21
914,2000-07-14
915,1991-12-12
916,2013-07-01
917,1998-12-16
918,2015-01-03
919,1994-04-01
920,2000-08-15
921,2014-11-13
922,2011-02-04
923,1990-06-24
924,2009-01-21
925,1992-11-07
926,1997-05-15
927,1992-03-20
928,1995-07-17
929,2000-12-27
930,1999-08-06
931,2007-03-03
932,1997-12-25
933,2013-11-06
934,1990-09-21
935,1999-10-05
936,1992-04-07
937,2009-03-05
938,1997-02-10
939,1992-01-28
940,2013-09-16
941,2008-05-16
942,2002-01-04
943,2002-04-02
944,1998-07-16
945,2002-08-15
946,1999-09-07
947,2012-01-12
948,1996-08-18
949,1996-03-11
950,1997-11-23
951,2013-08-08
952,1996-11-30
953,1997-06-18
954,2007-04-19
955,2007-09-19
956,1996-12-21
957,2008-02-03
958,2003-07-16
959,1991-05-05
960,1991-06-16
961,2001-04-03
962,2014-03-16
963,2010-08-03
964,2009-11-25
965,2001-05-08
966,2004-06-14
967,1994-08-07
968,2004-08-26
969,1990-05-25
970,1990-09-20
971,2000-11-05
972,1994-10-03
973,2005-04-11
974,1990-05-16
975,2004-09-11
976,1993-11-30
977,2003-03-06
978,1996-12-18
979,1995-02-21
980,2009-12-11
981,2000-10-18
982,2007-02-09
983,2006-10-28
984,2000-01-27
985,2002-04-05
986,2013-04-30
987,2013-05-01
988,1999-01-09
989,2007-07-04
990,1994-02-05
991,2006-07-12
992,2007-10-24
993,2001-12-08
994,2007-03-24
995,1991-07-16
996,2014-01-05
997,2003-02-17
998,2011-11-18
999,1996-11-11
